municipio_codigo;municipio_nombre;distrito_codigo;distrito_nombre;barrio_codigo;barrio_nombre;sexo;rango_edad;poblacion_empadronada
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 30 a 34 años;2441
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 35 a 39 años;2332
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 40 a 44 años;1999
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 45 a 49 años;1626
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 5 a 9 años;615
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 50 a 54 años;1507
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 55 a 59 años;1456
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 60 a 64 años;1041
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 65 a 69 años;860
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 70 a 74 años;807
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 75 a 79 años;657
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 80 a 84 años;710
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 85 a 89 años;618
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 90 a 94 años;310
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 95 a 99 años;77
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 0 a 4 años;157
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 10 a 14 años;128
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 100 y más años;0
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 15 a 19 años;124
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 20 a 24 años;208
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 25 a 29 años;397
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 30 a 34 años;575
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 35 a 39 años;629
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 40 a 44 años;527
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 45 a 49 años;518
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 5 a 9 años;114
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 50 a 54 años;444
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 55 a 59 años;386
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 60 a 64 años;309
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 65 a 69 años;222
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 70 a 74 años;172
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 75 a 79 años;125
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 80 a 84 años;96
