municipio_codigo,municipio_nombre,poblacion_empadronada,rango_edad,sexo
3,Alameda del Valle,6,De 60 a 64 años,Mujer
3,Alameda del Valle,4,De 65 a 69 años,Mujer
3,Alameda del Valle,1,De 70 a 74 años,Mujer
3,Alameda del Valle,5,De 75 a 79 años,Mujer
3,Alameda del Valle,4,De 80 a 84 años,Mujer
3,Alameda del Valle,1,De 85 a 89 años,Mujer
3,Alameda del Valle,1,De 90 a 94 años,Mujer
3,Alameda del Valle,1,De 95 a 99 años,Mujer
3,Alameda del Valle,0,De 100 y más años,Mujer
4,Alamo (El),268,De 0 a 4 años,Hombre
4,Alamo (El),309,De 5 a 9 años,Hombre
4,Alamo (El),318,De 10 a 14 años,Hombre
4,Alamo (El),230,De 15 a 19 años,Hombre
4,Alamo (El),233,De 20 a 24 años,Hombre
4,Alamo (El),249,De 25 a 29 años,Hombre
4,Alamo (El),282,De 30 a 34 años,Hombre
4,Alamo (El),358,De 35 a 39 años,Hombre
4,Alamo (El),425,De 40 a 44 años,Hombre
4,Alamo (El),424,De 45 a 49 años,Hombre
4,Alamo (El),326,De 50 a 54 años,Hombre
4,Alamo (El),257,De 55 a 59 años,Hombre
4,Alamo (El),212,De 60 a 64 años,Hombre
4,Alamo (El),178,De 65 a 69 años,Hombre
4,Alamo (El),164,De 70 a 74 años,Hombre
4,Alamo (El),111,De 75 a 79 años,Hombre
4,Alamo (El),100,De 80 a 84 años,Hombre
4,Alamo (El),68,De 85 a 89 años,Hombre
4,Alamo (El),34,De 90 a 94 años,Hombre
4,Alamo (El),5,De 95 a 99 años,Hombre
4,Alamo (El),2,De 100 y más años,Hombre
4,Alamo (El),232,De 0 a 4 años,Mujer
4,Alamo (El),306,De 5 a 9 años,Mujer
4,Alamo (El),291,De 10 a 14 años,Mujer
4,Alamo (El),213,De 15 a 19 años,Mujer
4,Alamo (El),193,De 20 a 24 años,Mujer
4,Alamo (El),225,De 25 a 29 años,Mujer
4,Alamo (El),289,De 30 a 34 años,Mujer
4,Alamo (El),379,De 35 a 39 años,Mujer
4,Alamo (El),405,De 40 a 44 años,Mujer
4,Alamo (El),397,De 45 a 49 años,Mujer
4,Alamo (El),296,De 50 a 54 años,Mujer
4,Alamo (El),245,De 55 a 59 años,Mujer
4,Alamo (El),192,De 60 a 64 años,Mujer
4,Alamo (El),176,De 65 a 69 años,Mujer
4,Alamo (El),163,De 70 a 74 años,Mujer
4,Alamo (El),127,De 75 a 79 años,Mujer
4,Alamo (El),155,De 80 a 84 años,Mujer
