municipio_codigo;municipio_nombre;distrito_codigo;distrito_nombre;barrio_codigo;barrio_nombre;sexo;rango_edad;numero_defunciones
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 30 a 34 años;0
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 35 a 39 años;1
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 40 a 44 años;1
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 45 a 49 años;3
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 50 a 54 años;5
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 55 a 59 años;2
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 60 a 64 años;3
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 65 a 69 años;8
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 70 a 74 años;8
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 75 a 79 años;12
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 80 a 84 años;26
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 85 a 89 años;42
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 90 a 94 años;46
79;Madrid;79601;Centro;796012;Embajadores;Mujer;De 95 a 99 años;23
79;Madrid;79601;Centro;796012;Embajadores;Mujer;Mayores de 100 años;3
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 0 a 4 años;0
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 5 a 9 años;0
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 10 a 14 años;0
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 15 a 19 años;0
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 20 a 24 años;0
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 25 a 29 años;0
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 30 a 34 años;0
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 35 a 39 años;0
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 40 a 44 años;0
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 45 a 49 años;2
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 50 a 54 años;0
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 55 a 59 años;0
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 60 a 64 años;5
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 65 a 69 años;1
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 70 a 74 años;5
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 75 a 79 años;5
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 80 a 84 años;4
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 85 a 89 años;14
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 90 a 94 años;2
79;Madrid;79601;Centro;796013;Cortes;Hombre;De 95 a 99 años;1
79;Madrid;79601;Centro;796013;Cortes;Hombre;Mayores de 100 años;0
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 0 a 4 años;0
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 5 a 9 años;0
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 10 a 14 años;0
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 15 a 19 años;0
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 20 a 24 años;0
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 25 a 29 años;0
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 30 a 34 años;0
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 35 a 39 años;0
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 40 a 44 años;0
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 45 a 49 años;0
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 50 a 54 años;0
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 55 a 59 años;3
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 60 a 64 años;1
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 65 a 69 años;4
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 70 a 74 años;1
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 75 a 79 años;4
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 80 a 84 años;3
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 85 a 89 años;9
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 90 a 94 años;13
79;Madrid;79601;Centro;796013;Cortes;Mujer;De 95 a 99 años;10
79;Madrid;79601;Centro;796013;Cortes;Mujer;Mayores de 100 años;1
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 0 a 4 años;1
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 5 a 9 años;0
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 10 a 14 años;0
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 15 a 19 años;0
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 20 a 24 años;1
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 25 a 29 años;0
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 30 a 34 años;0
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 35 a 39 años;0
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 40 a 44 años;1
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 45 a 49 años;0
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 50 a 54 años;3
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 55 a 59 años;4
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 60 a 64 años;2
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 65 a 69 años;1
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 70 a 74 años;6
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 75 a 79 años;4
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 80 a 84 años;7
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 85 a 89 años;8
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 90 a 94 años;7
79;Madrid;79601;Centro;796014;Justicia;Hombre;De 95 a 99 años;2
79;Madrid;79601;Centro;796014;Justicia;Hombre;Mayores de 100 años;0
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 0 a 4 años;0
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 5 a 9 años;0
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 10 a 14 años;0
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 15 a 19 años;0
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 20 a 24 años;0
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 25 a 29 años;0
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 30 a 34 años;0
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 35 a 39 años;0
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 40 a 44 años;0
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 45 a 49 años;1
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 50 a 54 años;3
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 55 a 59 años;0
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 60 a 64 años;1
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 65 a 69 años;4
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 70 a 74 años;4
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 75 a 79 años;5
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 80 a 84 años;6
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 85 a 89 años;15
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 90 a 94 años;15
79;Madrid;79601;Centro;796014;Justicia;Mujer;De 95 a 99 años;11
79;Madrid;79601;Centro;796014;Justicia;Mujer;Mayores de 100 años;3
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 0 a 4 años;0
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 5 a 9 años;0
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 10 a 14 años;0
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 15 a 19 años;0
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 20 a 24 años;0
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 25 a 29 años;0
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 30 a 34 años;0
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 35 a 39 años;1
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 40 a 44 años;1
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 45 a 49 años;4
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 50 a 54 años;5
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 55 a 59 años;10
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 60 a 64 años;8
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 65 a 69 años;9
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 70 a 74 años;9
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 75 a 79 años;11
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 80 a 84 años;11
79;Madrid;79601;Centro;796015;Universidad;Hombre;De 85 a 89 años;21
