municipio_codigo;municipio_nombre;sexo;rango_edad;poblacion_empadronada
3;Alameda del Valle;Mujer;De 60 a 64 años;6
3;Alameda del Valle;Mujer;De 65 a 69 años;4
3;Alameda del Valle;Mujer;De 70 a 74 años;1
3;Alameda del Valle;Mujer;De 75 a 79 años;5
3;Alameda del Valle;Mujer;De 80 a 84 años;4
3;Alameda del Valle;Mujer;De 85 a 89 años;1
3;Alameda del Valle;Mujer;De 90 a 94 años;1
3;Alameda del Valle;Mujer;De 95 a 99 años;1
3;Alameda del Valle;Mujer;De 100 y más años;0
4;Alamo (El);Hombre;De 0 a 4 años;268
4;Alamo (El);Hombre;De 5 a 9 años;309
4;Alamo (El);Hombre;De 10 a 14 años;318
4;Alamo (El);Hombre;De 15 a 19 años;230
4;Alamo (El);Hombre;De 20 a 24 años;233
4;Alamo (El);Hombre;De 25 a 29 años;249
4;Alamo (El);Hombre;De 30 a 34 años;282
4;Alamo (El);Hombre;De 35 a 39 años;358
4;Alamo (El);Hombre;De 40 a 44 años;425
4;Alamo (El);Hombre;De 45 a 49 años;424
4;Alamo (El);Hombre;De 50 a 54 años;326
4;Alamo (El);Hombre;De 55 a 59 años;257
4;Alamo (El);Hombre;De 60 a 64 años;212
4;Alamo (El);Hombre;De 65 a 69 años;178
4;Alamo (El);Hombre;De 70 a 74 años;164
4;Alamo (El);Hombre;De 75 a 79 años;111
4;Alamo (El);Hombre;De 80 a 84 años;100
4;Alamo (El);Hombre;De 85 a 89 años;68
4;Alamo (El);Hombre;De 90 a 94 años;34
4;Alamo (El);Hombre;De 95 a 99 años;5
4;Alamo (El);Hombre;De 100 y más años;2
4;Alamo (El);Mujer;De 0 a 4 años;232
4;Alamo (El);Mujer;De 5 a 9 años;306
4;Alamo (El);Mujer;De 10 a 14 años;291
4;Alamo (El);Mujer;De 15 a 19 años;213
4;Alamo (El);Mujer;De 20 a 24 años;193
4;Alamo (El);Mujer;De 25 a 29 años;225
4;Alamo (El);Mujer;De 30 a 34 años;289
4;Alamo (El);Mujer;De 35 a 39 años;379
4;Alamo (El);Mujer;De 40 a 44 años;405
4;Alamo (El);Mujer;De 45 a 49 años;397
4;Alamo (El);Mujer;De 50 a 54 años;296
4;Alamo (El);Mujer;De 55 a 59 años;245
4;Alamo (El);Mujer;De 60 a 64 años;192
4;Alamo (El);Mujer;De 65 a 69 años;176
4;Alamo (El);Mujer;De 70 a 74 años;163
4;Alamo (El);Mujer;De 75 a 79 años;127
4;Alamo (El);Mujer;De 80 a 84 años;155
4;Alamo (El);Mujer;De 85 a 89 años;151
4;Alamo (El);Mujer;De 90 a 94 años;125
4;Alamo (El);Mujer;De 95 a 99 años;29
4;Alamo (El);Mujer;De 100 y más años;7
5;Alcalá de Henares;Hombre;De 0 a 4 años;4445
5;Alcalá de Henares;Hombre;De 5 a 9 años;5451
5;Alcalá de Henares;Hombre;De 10 a 14 años;5482
5;Alcalá de Henares;Hombre;De 15 a 19 años;4729
5;Alcalá de Henares;Hombre;De 20 a 24 años;4970
5;Alcalá de Henares;Hombre;De 25 a 29 años;5505
5;Alcalá de Henares;Hombre;De 30 a 34 años;6469
5;Alcalá de Henares;Hombre;De 35 a 39 años;8010
5;Alcalá de Henares;Hombre;De 40 a 44 años;9086
5;Alcalá de Henares;Hombre;De 45 a 49 años;8392
5;Alcalá de Henares;Hombre;De 50 a 54 años;6832
5;Alcalá de Henares;Hombre;De 55 a 59 años;5951
5;Alcalá de Henares;Hombre;De 60 a 64 años;5376
5;Alcalá de Henares;Hombre;De 65 a 69 años;4712
5;Alcalá de Henares;Hombre;De 70 a 74 años;3898
5;Alcalá de Henares;Hombre;De 75 a 79 años;2508
5;Alcalá de Henares;Hombre;De 80 a 84 años;1815
5;Alcalá de Henares;Hombre;De 85 a 89 años;858
5;Alcalá de Henares;Hombre;De 90 a 94 años;308
5;Alcalá de Henares;Hombre;De 95 a 99 años;66
5;Alcalá de Henares;Hombre;De 100 y más años;14
5;Alcalá de Henares;Mujer;De 0 a 4 años;4079
5;Alcalá de Henares;Mujer;De 5 a 9 años;5092
5;Alcalá de Henares;Mujer;De 10 a 14 años;5110
5;Alcalá de Henares;Mujer;De 15 a 19 años;4411
5;Alcalá de Henares;Mujer;De 20 a 24 años;5119
5;Alcalá de Henares;Mujer;De 25 a 29 años;5621
5;Alcalá de Henares;Mujer;De 30 a 34 años;6663
5;Alcalá de Henares;Mujer;De 35 a 39 años;7946
5;Alcalá de Henares;Mujer;De 40 a 44 años;8996
5;Alcalá de Henares;Mujer;De 45 a 49 años;8396
5;Alcalá de Henares;Mujer;De 50 a 54 años;7135
5;Alcalá de Henares;Mujer;De 55 a 59 años;6795
5;Alcalá de Henares;Mujer;De 60 a 64 años;6034
5;Alcalá de Henares;Mujer;De 65 a 69 años;5477
5;Alcalá de Henares;Mujer;De 70 a 74 años;4491
5;Alcalá de Henares;Mujer;De 75 a 79 años;3037
5;Alcalá de Henares;Mujer;De 80 a 84 años;2503
5;Alcalá de Henares;Mujer;De 85 a 89 años;1530
5;Alcalá de Henares;Mujer;De 90 a 94 años;763
5;Alcalá de Henares;Mujer;De 95 a 99 años;187
5;Alcalá de Henares;Mujer;De 100 y más años;48
6;Alcobendas;Hombre;De 0 a 4 años;3204
6;Alcobendas;Hombre;De 5 a 9 años;3454
6;Alcobendas;Hombre;De 10 a 14 años;3509
6;Alcobendas;Hombre;De 15 a 19 años;3120
6;Alcobendas;Hombre;De 20 a 24 años;3044
6;Alcobendas;Hombre;De 25 a 29 años;3163
6;Alcobendas;Hombre;De 30 a 34 años;3769
6;Alcobendas;Hombre;De 35 a 39 años;4758
6;Alcobendas;Hombre;De 40 a 44 años;5235
6;Alcobendas;Hombre;De 45 a 49 años;4449
6;Alcobendas;Hombre;De 50 a 54 años;4008
6;Alcobendas;Hombre;De 55 a 59 años;3042
6;Alcobendas;Hombre;De 60 a 64 años;2528
6;Alcobendas;Hombre;De 65 a 69 años;2765
6;Alcobendas;Hombre;De 70 a 74 años;2357
6;Alcobendas;Hombre;De 75 a 79 años;1356
6;Alcobendas;Hombre;De 80 a 84 años;855
6;Alcobendas;Hombre;De 85 a 89 años;417
6;Alcobendas;Hombre;De 90 a 94 años;146
6;Alcobendas;Hombre;De 95 a 99 años;22
6;Alcobendas;Hombre;De 100 y más años;5
6;Alcobendas;Mujer;De 0 a 4 años;2984
6;Alcobendas;Mujer;De 5 a 9 años;3275
6;Alcobendas;Mujer;De 10 a 14 años;3128
6;Alcobendas;Mujer;De 15 a 19 años;2920
6;Alcobendas;Mujer;De 20 a 24 años;3092
6;Alcobendas;Mujer;De 25 a 29 años;3351
6;Alcobendas;Mujer;De 30 a 34 años;4028
6;Alcobendas;Mujer;De 35 a 39 años;5087
6;Alcobendas;Mujer;De 40 a 44 años;5600
6;Alcobendas;Mujer;De 45 a 49 años;5069
6;Alcobendas;Mujer;De 50 a 54 años;4466
6;Alcobendas;Mujer;De 55 a 59 años;3524
6;Alcobendas;Mujer;De 60 a 64 años;3292
6;Alcobendas;Mujer;De 65 a 69 años;3356
6;Alcobendas;Mujer;De 70 a 74 años;2536
6;Alcobendas;Mujer;De 75 a 79 años;1527
6;Alcobendas;Mujer;De 80 a 84 años;1149
6;Alcobendas;Mujer;De 85 a 89 años;735
6;Alcobendas;Mujer;De 90 a 94 años;398
6;Alcobendas;Mujer;De 95 a 99 años;114
6;Alcobendas;Mujer;De 100 y más años;27
7;Alcorcón;Hombre;De 0 a 4 años;4074
7;Alcorcón;Hombre;De 5 a 9 años;4563
7;Alcorcón;Hombre;De 10 a 14 años;4638
7;Alcorcón;Hombre;De 15 a 19 años;3943
7;Alcorcón;Hombre;De 20 a 24 años;3418
7;Alcorcón;Hombre;De 25 a 29 años;3772
7;Alcorcón;Hombre;De 30 a 34 años;5002
7;Alcorcón;Hombre;De 35 a 39 años;7169
7;Alcorcón;Hombre;De 40 a 44 años;8461
7;Alcorcón;Hombre;De 45 a 49 años;7237
7;Alcorcón;Hombre;De 50 a 54 años;5478
7;Alcorcón;Hombre;De 55 a 59 años;4053
7;Alcorcón;Hombre;De 60 a 64 años;3588
7;Alcorcón;Hombre;De 65 a 69 años;4734
7;Alcorcón;Hombre;De 70 a 74 años;4870
7;Alcorcón;Hombre;De 75 a 79 años;3161
7;Alcorcón;Hombre;De 80 a 84 años;1896
7;Alcorcón;Hombre;De 85 a 89 años;825
7;Alcorcón;Hombre;De 90 a 94 años;278
7;Alcorcón;Hombre;De 95 a 99 años;65
7;Alcorcón;Hombre;De 100 y más años;10
7;Alcorcón;Mujer;De 0 a 4 años;3962
7;Alcorcón;Mujer;De 5 a 9 años;4399
7;Alcorcón;Mujer;De 10 a 14 años;4360
7;Alcorcón;Mujer;De 15 a 19 años;3676
7;Alcorcón;Mujer;De 20 a 24 años;3296
7;Alcorcón;Mujer;De 25 a 29 años;3760
7;Alcorcón;Mujer;De 30 a 34 años;5094
7;Alcorcón;Mujer;De 35 a 39 años;7191
7;Alcorcón;Mujer;De 40 a 44 años;8438
7;Alcorcón;Mujer;De 45 a 49 años;7436
7;Alcorcón;Mujer;De 50 a 54 años;5707
7;Alcorcón;Mujer;De 55 a 59 años;4460
7;Alcorcón;Mujer;De 60 a 64 años;4753
7;Alcorcón;Mujer;De 65 a 69 años;6191
7;Alcorcón;Mujer;De 70 a 74 años;5936
7;Alcorcón;Mujer;De 75 a 79 años;3448
7;Alcorcón;Mujer;De 80 a 84 años;2444
7;Alcorcón;Mujer;De 85 a 89 años;1403
7;Alcorcón;Mujer;De 90 a 94 años;682
7;Alcorcón;Mujer;De 95 a 99 años;233
7;Alcorcón;Mujer;De 100 y más años;37
8;Aldea del Fresno;Hombre;De 0 a 4 años;71
8;Aldea del Fresno;Hombre;De 5 a 9 años;89
8;Aldea del Fresno;Hombre;De 10 a 14 años;73
8;Aldea del Fresno;Hombre;De 15 a 19 años;51
8;Aldea del Fresno;Hombre;De 20 a 24 años;65
8;Aldea del Fresno;Hombre;De 25 a 29 años;76
8;Aldea del Fresno;Hombre;De 30 a 34 años;99
8;Aldea del Fresno;Hombre;De 35 a 39 años;108
8;Aldea del Fresno;Hombre;De 40 a 44 años;145
8;Aldea del Fresno;Hombre;De 45 a 49 años;105
8;Aldea del Fresno;Hombre;De 50 a 54 años;107
8;Aldea del Fresno;Hombre;De 55 a 59 años;81
8;Aldea del Fresno;Hombre;De 60 a 64 años;80
8;Aldea del Fresno;Hombre;De 65 a 69 años;67
8;Aldea del Fresno;Hombre;De 70 a 74 años;61
8;Aldea del Fresno;Hombre;De 75 a 79 años;39
8;Aldea del Fresno;Hombre;De 80 a 84 años;28
8;Aldea del Fresno;Hombre;De 85 a 89 años;17
8;Aldea del Fresno;Hombre;De 90 a 94 años;13
8;Aldea del Fresno;Hombre;De 95 a 99 años;2
8;Aldea del Fresno;Hombre;De 100 y más años;0
8;Aldea del Fresno;Mujer;De 0 a 4 años;66
8;Aldea del Fresno;Mujer;De 5 a 9 años;71
8;Aldea del Fresno;Mujer;De 10 a 14 años;55
8;Aldea del Fresno;Mujer;De 15 a 19 años;49
8;Aldea del Fresno;Mujer;De 20 a 24 años;51
8;Aldea del Fresno;Mujer;De 25 a 29 años;77
8;Aldea del Fresno;Mujer;De 30 a 34 años;82
8;Aldea del Fresno;Mujer;De 35 a 39 años;102
8;Aldea del Fresno;Mujer;De 40 a 44 años;105
8;Aldea del Fresno;Mujer;De 45 a 49 años;91
8;Aldea del Fresno;Mujer;De 50 a 54 años;96
8;Aldea del Fresno;Mujer;De 55 a 59 años;81
8;Aldea del Fresno;Mujer;De 60 a 64 años;71
8;Aldea del Fresno;Mujer;De 65 a 69 años;67
8;Aldea del Fresno;Mujer;De 70 a 74 años;57
8;Aldea del Fresno;Mujer;De 75 a 79 años;38
8;Aldea del Fresno;Mujer;De 80 a 84 años;40
8;Aldea del Fresno;Mujer;De 85 a 89 años;23
8;Aldea del Fresno;Mujer;De 90 a 94 años;13
8;Aldea del Fresno;Mujer;De 95 a 99 años;4
8;Aldea del Fresno;Mujer;De 100 y más años;0
9;Algete;Hombre;De 0 a 4 años;478
9;Algete;Hombre;De 5 a 9 años;689
9;Algete;Hombre;De 10 a 14 años;775
9;Algete;Hombre;De 15 a 19 años;730
9;Algete;Hombre;De 20 a 24 años;632
9;Algete;Hombre;De 25 a 29 años;574
9;Algete;Hombre;De 30 a 34 años;582
9;Algete;Hombre;De 35 a 39 años;734
9;Algete;Hombre;De 40 a 44 años;899
9;Algete;Hombre;De 45 a 49 años;835
9;Algete;Hombre;De 50 a 54 años;885
9;Algete;Hombre;De 55 a 59 años;742
9;Algete;Hombre;De 60 a 64 años;513
9;Algete;Hombre;De 65 a 69 años;372
9;Algete;Hombre;De 70 a 74 años;251
9;Algete;Hombre;De 75 a 79 años;174
9;Algete;Hombre;De 80 a 84 años;151
9;Algete;Hombre;De 85 a 89 años;76
9;Algete;Hombre;De 90 a 94 años;23
9;Algete;Hombre;De 95 a 99 años;7
9;Algete;Hombre;De 100 y más años;0
9;Algete;Mujer;De 0 a 4 años;466
9;Algete;Mujer;De 5 a 9 años;641
9;Algete;Mujer;De 10 a 14 años;734
9;Algete;Mujer;De 15 a 19 años;701
9;Algete;Mujer;De 20 a 24 años;608
9;Algete;Mujer;De 25 a 29 años;492
9;Algete;Mujer;De 30 a 34 años;582
9;Algete;Mujer;De 35 a 39 años;772
9;Algete;Mujer;De 40 a 44 años;969
9;Algete;Mujer;De 45 a 49 años;899
9;Algete;Mujer;De 50 a 54 años;920
9;Algete;Mujer;De 55 a 59 años;771
9;Algete;Mujer;De 60 a 64 años;522
9;Algete;Mujer;De 65 a 69 años;372
9;Algete;Mujer;De 70 a 74 años;272
9;Algete;Mujer;De 75 a 79 años;212
9;Algete;Mujer;De 80 a 84 años;189
9;Algete;Mujer;De 85 a 89 años;99
9;Algete;Mujer;De 90 a 94 años;59
9;Algete;Mujer;De 95 a 99 años;16
9;Algete;Mujer;De 100 y más años;1
10;Alpedrete;Hombre;De 0 a 4 años;319
10;Alpedrete;Hombre;De 5 a 9 años;538
10;Alpedrete;Hombre;De 10 a 14 años;563
10;Alpedrete;Hombre;De 15 a 19 años;443
10;Alpedrete;Hombre;De 20 a 24 años;371
10;Alpedrete;Hombre;De 25 a 29 años;287
10;Alpedrete;Hombre;De 30 a 34 años;331
10;Alpedrete;Hombre;De 35 a 39 años;488
